end,start,task_id,text,video_id
56.12,53.72,105222,add ham,rzxVluau83Q
69.27,64.13,105222,stir mixture,rzxVluau83Q
79.66,75.53,105222,add onion,rzxVluau83Q
95.6,92.13,105222,stir mixture,rzxVluau83Q
133.45,119.63,105222,stir mixture,rzxVluau83Q
144.14,137.37,105222,stir mixture,rzxVluau83Q
150.15,148.09,105222,add kimchi,rzxVluau83Q
153.82,150.82,105222,stir mixture,rzxVluau83Q
160.99,156.45,105222,add rice,rzxVluau83Q
174.86,161.36,105222,stir mixture,rzxVluau83Q
183.45,180.74,105222,stir mixture,rzxVluau83Q
187.93,186.67,105222,stir mixture,rzxVluau83Q
210.76,209.28,105222,add onion,rzxVluau83Q
217.94,210.94,105222,stir mixture,rzxVluau83Q
222.66,220.35,105222,pour sesame oil,rzxVluau83Q
266.22,262.24,105222,stir mixture,rzxVluau83Q
29.72,19.45,105222,add onion,2uDeIqlNWaE
41.01,23.67,105222,stir mixture,2uDeIqlNWaE
78.63,53.47,105222,stir mixture,2uDeIqlNWaE
117.76,94.36,105222,add ham,2uDeIqlNWaE
139.8,117.83,105222,stir mixture,2uDeIqlNWaE
181.13,149.36,105222,stir mixture,2uDeIqlNWaE
192.28,189.28,105222,add kimchi,2uDeIqlNWaE
224.95,216.73,105222,stir mixture,2uDeIqlNWaE
246.4,237.61,105222,add rice,2uDeIqlNWaE
266.53,249.63,105222,stir mixture,2uDeIqlNWaE
172.09,157.51,105222,pour sesame oil,0mnuAqJCg5c
180.73,178.84,105222,add onion,0mnuAqJCg5c
197.53,190.98,105222,add ham,0mnuAqJCg5c
218.76,207.26,105222,add kimchi,0mnuAqJCg5c
256.71,252.12,105222,add rice,0mnuAqJCg5c
277.78,271.46,105222,stir mixture,0mnuAqJCg5c
56.68,53.68,105222,add kimchi,W3-Nf-QgfaI
69.27,62.27,105222,add rice,W3-Nf-QgfaI
89.07,70.67,105222,stir mixture,W3-Nf-QgfaI
39.54,37.64,105222,pour sesame oil,9SUcLzYq5xc
50.6,47.6,105222,add kimchi,9SUcLzYq5xc
76.59,51.59,105222,stir mixture,9SUcLzYq5xc
84.44,81.44,105222,add rice,9SUcLzYq5xc
106.58,84.98,105222,stir mixture,9SUcLzYq5xc
39.42,34.0,105222,add onion,bo355kAfADM
94.3,75.89,105222,stir mixture,bo355kAfADM
171.0,125.71,105222,add rice,bo355kAfADM
235.4,175.01,105222,stir mixture,bo355kAfADM
265.66,253.39,105222,add kimchi,bo355kAfADM
295.8,266.12,105222,stir mixture,bo355kAfADM
313.37,306.93,105222,add onion,bo355kAfADM
345.98,314.16,105222,stir mixture,bo355kAfADM
401.09,388.1,105222,pour sesame oil,bo355kAfADM
463.17,403.58,105222,stir mixture,bo355kAfADM
33.14,27.05,105222,pour sesame oil,g29-ltho-Ig
52.51,49.99,105222,add kimchi,g29-ltho-Ig
58.48,51.97,105222,stir mixture,g29-ltho-Ig
67.25,59.0,105222,stir mixture,g29-ltho-Ig
74.0,71.0,105222,add rice,g29-ltho-Ig
98.05,74.19,105222,stir mixture,g29-ltho-Ig
112.4,104.84,105222,stir mixture,g29-ltho-Ig
133.03,124.4,105222,stir mixture,g29-ltho-Ig
141.04,138.04,105222,pour sesame oil,g29-ltho-Ig
155.04,142.63,105222,stir mixture,g29-ltho-Ig
173.37,169.17,105222,add onion,g29-ltho-Ig
29.54,27.83,105222,add ham,9-GieozYn7Q
80.98,78.56,105222,add onion,9-GieozYn7Q
93.52,81.37,105222,stir mixture,9-GieozYn7Q
107.28,100.59,105222,stir mixture,9-GieozYn7Q
114.48,111.22,105222,add kimchi,9-GieozYn7Q
120.92,114.44,105222,stir mixture,9-GieozYn7Q
147.89,138.89,105222,stir mixture,9-GieozYn7Q
161.73,160.16,105222,add rice,9-GieozYn7Q
206.51,162.73,105222,stir mixture,9-GieozYn7Q
213.87,211.33,105222,pour sesame oil,9-GieozYn7Q
237.03,216.16,105222,stir mixture,9-GieozYn7Q
79.67,77.71,105222,pour sesame oil,g3HNsRMt6XQ
85.22,82.8,105222,add kimchi,g3HNsRMt6XQ
87.55,82.89,105222,stir mixture,g3HNsRMt6XQ
89.65,89.14,105222,add rice,g3HNsRMt6XQ
94.93,93.49,105222,pour sesame oil,g3HNsRMt6XQ
97.14,95.06,105222,stir mixture,g3HNsRMt6XQ
53.86,48.34,105222,add onion,LBjtPtJt3vg
65.33,62.33,105222,add kimchi,LBjtPtJt3vg
69.05,65.55,105222,stir mixture,LBjtPtJt3vg
82.39,77.29,105222,add rice,LBjtPtJt3vg
91.78,88.78,105222,pour sesame oil,LBjtPtJt3vg
123.13,116.73,105222,stir mixture,LBjtPtJt3vg
84.6,83.36,105222,pour sesame oil,ZkB3U7tKQbE
96.44,90.46,105222,stir mixture,ZkB3U7tKQbE
101.45,99.13,105222,add onion,ZkB3U7tKQbE
109.33,101.39,105222,stir mixture,ZkB3U7tKQbE
114.66,110.43,105222,add ham,ZkB3U7tKQbE
129.6,114.75,105222,stir mixture,ZkB3U7tKQbE
149.52,144.18,105222,stir mixture,ZkB3U7tKQbE
154.33,150.01,105222,add kimchi,ZkB3U7tKQbE
159.3,154.37,105222,stir mixture,ZkB3U7tKQbE
168.52,161.05,105222,add rice,ZkB3U7tKQbE
178.51,169.55,105222,stir mixture,ZkB3U7tKQbE
209.08,200.53,105222,add onion,ZkB3U7tKQbE
123.51,113.87,105222,pour sesame oil,aQfu4Bgc9Qw
139.16,137.34,105222,add kimchi,aQfu4Bgc9Qw
143.96,139.09,105222,stir mixture,aQfu4Bgc9Qw
181.92,170.67,105222,pour sesame oil,aQfu4Bgc9Qw
188.1,182.65,105222,add rice,aQfu4Bgc9Qw
246.23,204.2,105222,stir mixture,aQfu4Bgc9Qw
56.51,53.51,105222,pour sesame oil,DLrZYkn8zBU
63.22,60.22,105222,add ham,DLrZYkn8zBU
81.1,76.1,105222,add kimchi,DLrZYkn8zBU
94.28,89.28,105222,add rice,DLrZYkn8zBU
117.08,98.08,105222,stir mixture,DLrZYkn8zBU
125.14,122.14,105222,add onion,DLrZYkn8zBU
98.02,97.32,105222,add rice,SzuZy5S82as
220.91,219.71,105222,pour sesame oil,SzuZy5S82as
233.83,232.53,105222,add ham,SzuZy5S82as
238.52,237.22,105222,add kimchi,SzuZy5S82as
242.05,241.55,105222,add onion,SzuZy5S82as
249.54,242.14,105222,stir mixture,SzuZy5S82as
276.17,266.67,105222,stir mixture,SzuZy5S82as
280.53,277.53,105222,add rice,SzuZy5S82as
299.97,280.27,105222,stir mixture,SzuZy5S82as
315.69,311.29,105222,stir mixture,SzuZy5S82as
322.17,321.17,105222,pour sesame oil,SzuZy5S82as
324.25,322.35,105222,stir mixture,SzuZy5S82as
92.66,90.02,105222,pour sesame oil,U74sM8O1wVg
96.02,94.27,105222,add onion,U74sM8O1wVg
107.77,96.13,105222,stir mixture,U74sM8O1wVg
113.89,110.47,105222,add kimchi,U74sM8O1wVg
154.26,113.98,105222,stir mixture,U74sM8O1wVg
158.18,156.37,105222,pour sesame oil,U74sM8O1wVg
180.55,162.8,105222,stir mixture,U74sM8O1wVg
184.38,182.31,105222,add rice,U74sM8O1wVg
237.39,185.55,105222,stir mixture,U74sM8O1wVg
267.42,264.14,105222,add onion,U74sM8O1wVg
279.87,278.8,105222,pour sesame oil,U74sM8O1wVg
215.72,206.4,105222,stir mixture,vUUaTO4oDh8
301.63,296.79,105222,add kimchi,vUUaTO4oDh8
303.9,301.5,105222,stir mixture,vUUaTO4oDh8
314.89,310.81,105222,stir mixture,vUUaTO4oDh8
316.96,315.06,105222,add ham,vUUaTO4oDh8
320.2,317.1,105222,stir mixture,vUUaTO4oDh8
326.68,322.24,105222,stir mixture,vUUaTO4oDh8
337.61,331.96,105222,stir mixture,vUUaTO4oDh8
341.04,337.84,105222,add rice,vUUaTO4oDh8
379.33,349.23,105222,stir mixture,vUUaTO4oDh8
5.7,2.1,105222,pour sesame oil,-YtYoSwdUf8
13.31,6.28,105222,add onion,-YtYoSwdUf8
34.84,16.17,105222,stir mixture,-YtYoSwdUf8
39.57,36.74,105222,add kimchi,-YtYoSwdUf8
61.32,38.24,105222,stir mixture,-YtYoSwdUf8
96.12,88.79,105222,stir mixture,-YtYoSwdUf8
99.22,98.0,105222,add rice,-YtYoSwdUf8
160.96,99.26,105222,stir mixture,-YtYoSwdUf8
205.68,177.47,105222,stir mixture,-YtYoSwdUf8
212.58,209.3,105222,pour sesame oil,-YtYoSwdUf8
227.11,213.86,105222,stir mixture,-YtYoSwdUf8
79.98,27.16,105253,cut cucumber,EUt-0DS2GGU
132.94,114.44,105253,cut onion,EUt-0DS2GGU
152.73,147.73,105253,add salt,EUt-0DS2GGU
201.65,193.12,105253,pour vinegar,EUt-0DS2GGU
207.72,201.76,105253,add sugar,EUt-0DS2GGU
238.73,208.48,105253,add spices,EUt-0DS2GGU
282.4,266.3,105253,pack cucumbers in jar,EUt-0DS2GGU
306.51,297.67,105253,seal jar,EUt-0DS2GGU
315.95,310.95,105253,put jar in water,EUt-0DS2GGU
