end,start,task,text,video_id
102,90,113,spread margarine on two slices of white bread,GLd3aX16zBg
127,114,113,place a slice of cheese on the bread,GLd3aX16zBg
138,132,113,place the bread slices on top of each other and place in a hot pan,GLd3aX16zBg
145,139,113,flip the sandwich over and press down,GLd3aX16zBg
174,173,113,cut the sandwich in half diagonally,GLd3aX16zBg
102,67,103,grill the  patties,H_9oM1Y60lU
157,129,103,chop some roasted pepper and season with salt and pepper,H_9oM1Y60lU
222,202,103,add butter flour and hot milk to a sauce pan and whisk,H_9oM1Y60lU
239,229,103,add some parmesan cheese and salt to pot,H_9oM1Y60lU
305,264,103,put the patties cheese sauce and vegetables in buns,H_9oM1Y60lU
98,77,321,mix sesame seeds with chicken breast,XOwypmUT5cc
166,117,321,add in cooking oil soy sauce salt and mix everything up,XOwypmUT5cc
193,175,321,add 2 tbsp corn starch and let it marinate,XOwypmUT5cc
264,201,321,combine chicken stock dark soy sauce cooking wine hoisin sauce black vinegar sugar and sesame oil,XOwypmUT5cc
319,269,321,mix some corn starch and water together,XOwypmUT5cc
403,325,321,coat the chicken pieces with flour and fry them in the oil,XOwypmUT5cc
579,513,321,fry some minced garlic roasted red chilli and the sauce,XOwypmUT5cc
588,580,321,add in the corn starch and water mixture,XOwypmUT5cc
618,600,321,add in the fried chicken and stir to coat them well,XOwypmUT5cc
37,21,107,cut squid rings,_xOx9hkJoBk
67,57,107,add some ground white pepper ground cayenne pepper and ground black pepper to the same bowl,_xOx9hkJoBk
73,68,107,mix of ingredients in the bowl,_xOx9hkJoBk
79,74,107,coat the squid rings with the mixture in the bowl,_xOx9hkJoBk
100,80,107,put the squid rings on a pan and cook the squid rings with oil poured on them,_xOx9hkJoBk
23,16,401,heat some oil in a pan with garlic and cumin seeds,67ilysu8CeU
40,25,401,add some chopped onions and stir,67ilysu8CeU
109,67,401,add tomato puree and stir,67ilysu8CeU
158,131,401,add the chicken and coat with the sauce,67ilysu8CeU
197,168,401,season it with coriander powder and add some water,67ilysu8CeU
54,28,222,chop the lemon grass ginger onion and chili finely,nfYzqyureLo
80,55,222,pre heat oil in a bowl and add onions chili lemon grass ginger and garlic and stir it and put a lid on,nfYzqyureLo
123,81,222,discard the broken and bad mussels,nfYzqyureLo
144,129,222,add coconut milk fish sauce and soy sauce into the pan,nfYzqyureLo
165,161,222,chop fresh coriander and slice the lime,nfYzqyureLo
180,173,222,put all the mussels into the bowl and stir,nfYzqyureLo
210,196,222,transfer all the mussel shells out of the bowl and squeeze lemon over them,nfYzqyureLo
228,220,222,pour the sauce over the mussel shells,nfYzqyureLo
72,22,120,add cashews onion powder water and chicken flavoring to a blender and blend,skrWT6xHVoI
80,74,120,pour the mixture on hash browns,skrWT6xHVoI
112,87,120,mix the hash brown and the sauce,skrWT6xHVoI
132,114,120,add the diced onions and mix,skrWT6xHVoI
155,133,120,spread the mixture loosely on the cooking sheet with olive oil and place in the oven,skrWT6xHVoI
27,24,317,chop green onions and garlic,BGCW_PWhY9g
58,28,317,add minced garlic brown sugar soy sauce rice wine sesame oil honey and ground black pepper to a bowl,BGCW_PWhY9g
75,62,317,cut the chicken and combine it with the marinade,BGCW_PWhY9g
89,78,317,oil a pan and place the chicken on it to cook,BGCW_PWhY9g
98,94,317,sprinkle the chicken with green onions and serve,BGCW_PWhY9g
90,68,127,cook some chicken pieces in a pan with some cooking oil,EjHxMfOdl1k
113,94,127,add some water taco seasoning mix and stir the chicken,EjHxMfOdl1k
150,122,127,put the chicken black beans green onions cilantro and pepper in the rice,EjHxMfOdl1k
187,151,127,mix the ingredients,EjHxMfOdl1k
